site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 11MAR28 2011.2361 55648 1629 1  -42.8    772  0.884968   -564218 -0.014009    67  0.953594  0.0080 0.000747 0.000703 0.003127 -0.053334  0.109258 -0.064357  -5.1024802622  -42.7930296179    67.95359
PITN 11MAR29 2011.2389 55649 1629 2  -42.8    772  0.887456   -564218 -0.013876    67  0.964222  0.0080 0.000750 0.000673 0.002935 -0.040828  0.062079  0.001621  -5.1024802610  -42.7930295955    67.96422
PITN 11MAR30 2011.2416 55650 1629 3  -42.8    772  0.883227   -564218 -0.010547    67  0.948073  0.0080 0.000757 0.000695 0.003024 -0.049947  0.116396 -0.020828  -5.1024802309  -42.7930296336    67.94807
PITN 11MAR31 2011.2444 55651 1629 4  -42.8    772  0.883832   -564218 -0.014822    67  0.950868  0.0080 0.000763 0.000688 0.002913 -0.041816  0.086381 -0.017779  -5.1024802695  -42.7930296282    67.95087
PITN 11APR01 2011.2471 55652 1629 5  -42.8    772  0.884771   -564218 -0.015655    67  0.958140  0.0080 0.000765 0.000705 0.003065 -0.062775  0.069610  0.012480  -5.1024802770  -42.7930296197    67.95814
PITN 11APR02 2011.2498 55653 1629 6  -42.8    772  0.884924   -564218 -0.015770    67  0.948499  0.0080 0.000788 0.000701 0.003039 -0.080012  0.075343 -0.036054  -5.1024802781  -42.7930296183    67.94850
PITN 11APR03 2011.2526 55654 1630 0  -42.8    772  0.883576   -564218 -0.014653    67  0.960856  0.0080 0.000767 0.000699 0.003060 -0.043666  0.109978 -0.046786  -5.1024802680  -42.7930296305    67.96086
PITN 11APR04 2011.2553 55655 1630 1  -42.8    772  0.884953   -564218 -0.013809    67  0.959173  0.0080 0.000780 0.000712 0.003078 -0.057504  0.040860 -0.036297  -5.1024802604  -42.7930296180    67.95917
PITN 11APR05 2011.2580 55656 1630 2  -42.8    772  0.884155   -564218 -0.013942    67  0.956777  0.0080 0.000759 0.000704 0.003078 -0.067023  0.049685 -0.088309  -5.1024802615  -42.7930296252    67.95678
PITN 11APR06 2011.2608 55657 1630 3  -42.8    772  0.886226   -564218 -0.014184    67  0.948734  0.0080 0.000735 0.000690 0.003006 -0.052899  0.030323 -0.067949  -5.1024802637  -42.7930296066    67.94873
PITN 11APR07 2011.2635 55658 1630 4  -42.8    772  0.886256   -564218 -0.014681    67  0.954596  0.0080 0.000733 0.000675 0.002885 -0.036396  0.083790 -0.034841  -5.1024802682  -42.7930296063    67.95460
PITN 11APR08 2011.2663 55659 1630 5  -42.8    772  0.885024   -564218 -0.015507    67  0.946847  0.0080 0.000778 0.000714 0.003049 -0.049639  0.088593 -0.034925  -5.1024802757  -42.7930296174    67.94685
PITN 11APR09 2011.2690 55660 1630 6  -42.8    772  0.885354   -564218 -0.016462    67  0.954652  0.0080 0.000763 0.000705 0.003034 -0.015824  0.064986 -0.022883  -5.1024802843  -42.7930296144    67.95465
PITN 11APR10 2011.2717 55661 1631 0  -42.8    772  0.882674   -564218 -0.016015    67  0.955033  0.0080 0.000770 0.000709 0.003055 -0.032309  0.035759  0.019574  -5.1024802803  -42.7930296386    67.95503
PITN 11APR11 2011.2745 55662 1631 1  -42.8    772  0.884567   -564218 -0.015283    67  0.951960  0.0080 0.000760 0.000705 0.003049 -0.005346  0.060211 -0.062630  -5.1024802737  -42.7930296215    67.95196
PITN 11APR12 2011.2772 55663 1631 2  -42.8    772  0.884941   -564218 -0.014471    67  0.961357  0.0080 0.000770 0.000731 0.003123 -0.009500  0.062202 -0.046494  -5.1024802663  -42.7930296182    67.96136
